"","x","y"
"355",19793,13549
"356",19545,18045
"357",9448,16894
"358",14236,8912
"359",20802,12967
"360",19035,12244
"361",7427,14575
"362",7937,20087
"363",16255,8330
"364",16254,7169
"365",16509,10505
"366",7931,13704
"367",9949,13122
"368",9702,18490
"369",19289,14129
"370",16254,6879
"371",6918,10514
"372",20299,14709
"373",14999,15439
"374",19033,9923
"375",19797,17610
"376",8946,19506
"377",7680,15880
"378",13233,16165
"379",8187,17911
"380",13986,11668
"381",8691,17330
"382",17265,9199
"383",13984,8477
"384",19037,14565
"385",14496,17470
"386",7676,10658
"387",14491,11668
"388",8188,19361
"389",16770,19353
"390",17018,14566
"391",15255,19065
"392",15749,7460
"393",10206,17619
"394",18530,12244
"395",16013,19499
"396",10704,10656
"397",7426,13125
"398",14993,8766
"399",19292,17901
"400",10199,9496
"401",16258,11231
"402",6925,18057
"403",12733,21098
"404",10967,21535
"405",5661,15882
"406",14740,8041
"407",7929,11674
"408",12475,14571
"409",20800,10937
"410",20042,9922
"411",12226,18487
"412",10953,6739
"413",21053,11662
"414",11216,17908
"415",11970,14281
"416",6919,11094
"417",6671,16171
"418",19538,10213
"419",12470,9639
"420",12480,20953
"421",10208,20230
"422",19793,13258
"423",12973,7608
"424",9195,15879
"425",13989,14859
"426",7679,13850
"427",10966,20954
"428",12468,6738
"429",9953,16604
"430",17778,17902
"431",7684,19362
"432",9947,9931
"433",18275,8908
"434",18278,12680
"435",13987,11958
"436",15759,18194
"437",17527,19498
"438",7674,9208
"439",14246,19646
"440",7935,18636
"441",13235,18196
"442",9947,10801
"443",15498,8476
"444",13743,21387
"445",20049,16885
"446",18031,18337
"447",16508,9345
"448",10966,21244
"449",17266,9489
"450",9699,14718
"451",20553,16304
"452",14751,19936
"453",14745,12683
"454",12478,17762
"455",10965,20084
"456",18535,18046
"457",14997,12247
"458",11973,17762
"459",16769,19063
"460",15248,11232
"461",19040,18336
"462",13992,18050
"463",9702,18780
"464",19292,17611
"465",13730,6882
"466",15496,6445
"467",12467,6157
"468",7936,18926
"469",8936,8481
"470",13734,11523
"471",7681,16751
"472",16508,8765
"473",7430,18056
"474",11211,12396
"475",14494,14569
"476",20046,14274
"477",6669,14141
"478",18281,15871
"479",15761,19935
"480",15499,9636
"481",15503,13988
"482",12220,12395
"483",13227,9203
"484",12477,16891
"485",9952,16023
"486",16262,15583
"487",10461,20084
"488",15249,12682
"489",15503,14278
"490",8179,9498
"491",19039,16305
"492",19794,14419
"493",17776,15581
"494",12470,9349
"495",5911,13126
"496",13738,16455
"497",17769,8328
"498",9196,17039
"499",11963,6738
"500",17524,16307
"501",15507,18629
"502",8941,13994
"503",18282,17321
"504",11206,6594
"505",10712,18489
"506",11967,11670
"507",10201,12107
"508",10459,18634
"509",14490,9927
"510",9955,19215
"511",8942,15444
"512",10708,14427
"513",13988,13409
"514",13237,19937
"515",18280,15000
"516",17271,15872
"517",13238,21097
"518",18283,18482
"519",8439,17765
"520",12474,13990
"521",12479,19212
"522",14743,10942
"523",6416,13706
"524",8180,9788
"525",11464,13121
"526",15509,20660
"527",16004,9926
"528",11970,14571
"529",15247,10362
"530",8941,14864
"531",14743,11232
"532",18030,17757
"533",16002,7315
"534",9449,17764
"535",9947,10511
"536",14489,9057
"537",12719,6012
"538",19290,15580
"539",16259,12681
"540",13734,11813
"541",14744,12103
"542",13227,8913
"543",14996,11957
"544",14494,14279
"545",9445,13993
"546",9950,13412
"547",15004,20370
"548",8693,19071
"549",12215,6303
"550",18284,19352
"551",17523,14856
"552",20551,14563
"553",7680,15590
"554",19539,11083
"555",10965,19794
"556",20550,13403
"557",10205,16168
"558",7426,13415
"559",10200,11526
"560",11218,20809
"561",9191,11818
"562",7678,13560
"563",16761,9490
"564",19539,11373
"565",15759,17904
"566",9947,10221
"567",7678,12979
"568",14744,12393
"569",10453,11671
"570",9951,14573
"571",14497,18340
"572",11466,16022
"573",8439,17185
"574",12476,15441
"575",15761,20225
"576",8937,9352
"577",18786,16160
"578",12727,14715
"579",8438,16605
"580",10455,13992
"581",11963,6448
"582",19033,9633
"583",15002,18340
"584",15001,17469
"585",11724,21389
"586",20299,14418
"587",20805,15578
"588",9445,13413
"589",15504,15438
"590",7422,9353
"591",12216,7173
"592",20044,11953
"593",14493,13698
"594",9194,14719
"595",9448,16604
"596",7175,14720
"597",6420,17767
"598",16266,20804
"599",13732,9493
"600",8181,11528
"601",9198,19650
"602",9956,20375
"603",8434,12253
"604",12980,15440
"605",8186,16460
"606",21055,13402
"607",5407,13997
"608",8940,12833
"609",18284,19642
"610",17775,15001
"611",8693,19361
"612",10450,8770
"613",15250,13843
"614",19040,18046
"615",10198,8625
"616",9443,10802
"617",12722,8913
"618",14247,21096
"619",11463,12251
"620",5661,15592
"621",11974,19503
"622",19797,17320
"623",12472,11379
"624",17275,19933
"625",12480,20083
"626",7429,17476
"627",11209,10655
"628",11471,21244
"629",7176,16461
"630",17519,10214
"631",17013,9635
"632",13739,17325
"633",8437,15445
"634",15501,11957
"635",11209,10945
"636",6672,17332
"637",6419,16027
"638",15005,21241
"639",17770,9489
"640",14741,8621
"641",6922,14866
"642",8687,12398
"643",8181,10658
"644",7429,16606
"645",8182,11818
"646",18531,13115
"647",5909,11095
"648",15252,15874
"649",15002,18050
"650",11714,10655
"651",8184,14719
"652",17271,15582
"653",13737,15005
"654",12228,21098
"655",21055,12822
"656",13740,18776
"657",10204,15878
"658",13729,6591
"659",17267,10940
"660",6673,17912
"661",17272,17032
"662",10711,17618
"663",12986,21823
"664",10960,14572
"665",12979,14280
"666",14240,12393
"667",17528,20078
"668",9946,9061
"669",11464,13701
"670",8688,13849
"671",18032,19207
"672",19289,13839
"673",15504,15728
"674",13232,14425
"675",8187,18201
"676",14752,20806
"677",13729,6301
"678",18779,8328
"679",6417,13996
"680",7929,11383
"681",8692,17620
"682",17014,10795
"683",17777,16742
"684",16254,7460
"685",6167,17332
"686",10455,13702
"687",5913,14867
"688",16771,20224
"689",17014,10505
"690",15499,9346
"691",7926,8773
"692",8690,15589
"693",8185,15300
"694",9701,17329
"695",14499,20081
"696",11965,9349
"697",9699,15588
"698",11462,11380
"699",14246,19356
"700",11458,6739
"701",16005,10506
"702",12982,16891
"703",17526,18337
"704",12473,12540
"705",13483,13409
"706",6418,15446
"707",17771,10359
"708",7430,17766
"709",15757,15873
"710",12468,7028
"711",18537,19787
"712",20045,12533
"713",8434,11383
"714",12220,12105
"715",8937,9642
"716",17016,12536
"717",11470,19503
"718",16259,12391
"719",16512,13406
"720",10204,15298
"721",17268,12100
"722",5913,15157
"723",10201,11817
"724",9199,20811
"725",17516,7603
"726",10710,16458
"727",16265,19644
"728",19291,15870
"729",6420,17477
"730",9448,16314
"731",7431,18927
"732",17015,11375
"733",11969,13701
"734",10711,18199
"735",7171,11239
"736",15750,8330
"737",11713,9204
"738",6925,17477
"739",14746,13843
"740",20049,17465
"741",13481,11378
"742",17770,9199
"743",16009,15728
"744",8441,19796
"745",8936,8772
"746",8694,19941
"747",15750,7750
"748",9954,18344
"749",9955,19505
"750",14242,14714
"751",9953,17184
"752",7423,10514
"753",16769,18483
"754",10959,12541
"755",10198,8916
"756",12731,18777
"757",18281,15581
"758",14235,7171
"759",6918,10224
"760",19036,13114
"761",12975,9638
"762",20042,9632
"763",13484,14280
"764",12725,12104
"765",12986,21533
"766",20802,12677
"767",10198,8335
"768",17267,11230
"769",7428,16316
"770",8434,11673
"771",14994,9636
"772",8189,19941
"773",14493,13118
"774",15750,8620
"775",5914,16607
"776",6418,15156
"777",16769,18773
"778",17274,18483
"779",14241,13554
"780",8189,19651
"781",12984,19502
"782",6414,11385
"783",13742,20517
"784",18534,16596
"785",8942,15154
"786",15004,20080
"787",14488,8186
"788",10208,19359
"789",7427,14285
"790",6669,13851
"791",17527,19788
"792",7931,13414
"793",17777,17032
"794",8944,17475
"795",15000,15729
"796",10203,14718
"797",17273,18193
"798",16011,17468
"799",8436,14574
"800",10201,12687
"801",12720,6882
"802",9953,17474
"803",7674,8918
"804",16258,12101
"805",9191,12108
"806",20548,11082
"807",11461,10510
"808",16764,12681
"809",8688,14139
"810",11971,15441
"811",7172,12109
"812",12219,11235
"813",7177,17331
"814",12977,12249
"815",8440,18636
"816",8686,11818
"817",10963,17473
"818",13482,12249
"819",15759,18484
"820",16762,10940
"821",12981,16021
"822",15498,9056
"823",12480,20663
"824",13479,8187
"825",16762,10360
"826",10710,17328
"827",12980,14570
"828",19542,14564
"829",12974,8188
"830",10954,7609
"831",10454,12832
"832",10459,18344
"833",14234,6301
"834",9701,17619
"835",7176,16171
"836",11218,19939
"837",8184,14139
"838",17023,20079
"839",7171,10659
"840",16260,14132
"841",13236,19357
"842",17779,19353
"843",12473,12830
"844",8938,11383
"845",11712,8334
"846",11715,11235
"847",11967,10800
"848",17523,15436
"849",12225,17907
"850",14490,10217
"851",5660,14722
"852",18781,10939
"853",13480,9928
"854",8946,20376
"855",16758,6879
"856",14244,17035
"857",14992,6735
"858",8690,15879
"859",15761,20805
"860",16008,14857
"861",6419,16607
